id,title,vote_average,vote_count,release_date,revenue,runtime,budget,popularity,genres
27205,Inception,8.364,34495,15/07/2010,825532764,148,160000000,83.952,"Action, Science Fiction, Adventure"
157336,Interstellar,8.417,32571,05/11/2014,701729206,169,165000000,140.241,"Adventure, Drama, Science Fiction"
155,The Dark Knight,8.512,30619,16/07/2008,1004558444,152,185000000,130.643,"Drama, Action, Crime, Thriller"
19995,Avatar,7.573,29815,15/12/2009,2923706026,162,237000000,79.932,"Action, Adventure, Fantasy, Science Fiction"
24428,The Avengers,7.71,29166,25/04/2012,1518815515,143,220000000,98.082,"Science Fiction, Action, Adventure"
293660,Deadpool,7.606,28894,09/02/2016,783100000,108,58000000,72.735,"Action, Adventure, Comedy"
299536,Avengers: Infinity War,8.255,27713,25/04/2018,2052415039,149,300000000,154.34,"Adventure, Action, Science Fiction"
550,Fight Club,8.438,27238,15/10/1999,100853753,139,63000000,69.498,Drama
118340,Guardians of the Galaxy,7.906,26638,30/07/2014,772776600,121,170000000,33.255,"Action, Science Fiction, Adventure"
680,Pulp Fiction,8.488,25893,10/09/1994,213900000,154,8500000,74.862,"Thriller, Crime"
13,Forrest Gump,8.477,25409,23/06/1994,677387716,142,55000000,92.693,"Comedy, Drama, Romance"
671,Harry Potter and the Philosopher's Stone,7.916,25379,16/11/2001,976475550,152,125000000,185.482,"Adventure, Fantasy"
1726,Iron Man,7.64,24874,30/04/2008,585174222,126,140000000,72.897,"Action, Science Fiction, Adventure"
68718,Django Unchained,8.171,24672,25/12/2012,425368238,165,100000000,54.224,"Drama, Western"
278,The Shawshank Redemption,8.702,24649,23/09/1994,28341469,142,25000000,122.61,"Drama, Crime"
299534,Avengers: Endgame,8.263,23857,24/04/2019,2800000000,181,356000000,91.756,"Adventure, Science Fiction, Action"
603,The Matrix,8.206,23815,30/03/1999,463517383,136,63000000,78.564,"Action, Science Fiction"
597,Titanic,7.9,23637,18/11/1997,2264162353,194,200000000,102.348,"Drama, Romance"
475557,Joker,8.168,23425,01/10/2019,1074458282,122,55000000,54.522,"Crime, Thriller, Drama"
120,The Lord of the Rings: The Fellowship of the Ring,8.402,23323,18/12/2001,871368364,179,93000000,87.037,"Adventure, Fantasy, Action"
122,The Lord of the Rings: The Return of the King,8.474,22334,01/12/2003,1118888979,201,94000000,99.276,"Adventure, Fantasy, Action"
11324,Shutter Island,8.2,22318,14/02/2010,294800000,138,80000000,56.595,"Drama, Thriller, Mystery"
106646,The Wolf of Wall Street,8.035,22222,25/12/2013,392000000,180,100000000,97.444,"Crime, Drama, Comedy"
99861,Avengers: Age of Ultron,7.276,21754,22/04/2015,1405403694,141,365000000,96.565,"Action, Adventure, Science Fiction"
271110,Captain America: Civil War,7.4,21541,27/04/2016,1155046416,147,250000000,70.741,"Adventure, Action, Science Fiction"
49026,The Dark Knight Rises,7.777,21335,17/07/2012,1081041287,165,250000000,76.914,"Action, Crime, Drama, Thriller"
68721,Iron Man 3,6.928,21064,18/04/2013,1215577205,130,200000000,61.06,"Action, Adventure, Science Fiction"
284054,Black Panther,7.39,21053,13/02/2018,1349926083,135,200000000,43.665,"Action, Adventure, Science Fiction"
284052,Doctor Strange,7.427,20935,25/10/2016,676343174,115,180000000,70.535,"Action, Adventure, Fantasy"
76341,Mad Max: Fury Road,7.582,20911,13/05/2015,378858340,121,150000000,78.319,"Action, Adventure, Science Fiction"
16869,Inglourious Basterds,8.215,20746,19/08/2009,321457747,153,70000000,59.162,"Drama, Thriller, War"
70160,The Hunger Games,7.193,20636,12/03/2012,694394724,142,75000000,29.577,"Science Fiction, Adventure, Fantasy"
315635,Spider-Man: Homecoming,7.345,20507,05/07/2017,880166924,133,175000000,65.88,"Action, Adventure, Science Fiction, Drama"
672,Harry Potter and the Chamber of Secrets,7.721,20390,13/11/2002,876688482,161,100000000,121.699,"Adventure, Fantasy"
283995,Guardians of the Galaxy Vol. 2,7.624,20353,19/04/2017,863756051,137,200000000,67.553,"Science Fiction, Adventure, Action"
121,The Lord of the Rings: The Two Towers,8.385,20274,18/12/2002,926287400,179,79000000,78.73,"Adventure, Fantasy, Action"
1771,Captain America: The First Avenger,6.995,20269,22/07/2011,370569774,124,140000000,43.665,"Action, Adventure, Science Fiction"
297761,Suicide Squad,5.909,20097,03/08/2016,746846894,123,175000000,35.356,"Action, Adventure, Fantasy"
673,Harry Potter and the Prisoner of Azkaban,8.02,20038,31/05/2004,789804554,141,130000000,124.386,"Adventure, Fantasy"
10195,Thor,6.768,20023,21/04/2011,449326618,115,150000000,51.277,"Adventure, Fantasy, Action"
10138,Iron Man 2,6.835,19756,28/04/2010,623933331,124,200000000,84.445,"Adventure, Action, Science Fiction"
272,Batman Begins,7.701,19561,10/06/2005,374218673,140,150000000,66.286,"Action, Crime, Drama"
284053,Thor: Ragnarok,7.595,19539,02/10/2017,855301806,131,180000000,45.2,"Action, Adventure, Science Fiction"
150540,Inside Out,7.922,19463,09/06/2015,857611174,95,175000000,107.292,"Animation, Family, Adventure, Drama, Comedy"
135397,Jurassic World,6.682,19414,06/06/2015,1671537444,124,150000000,54.089,"Action, Adventure, Science Fiction, Thriller"
807,Se7en,8.368,19403,22/09/1995,327311859,127,33000000,53.521,"Crime, Mystery, Thriller"
674,Harry Potter and the Goblet of Fire,7.816,19287,16/11/2005,895921036,157,150000000,134.276,"Adventure, Fantasy"
22,Pirates of the Caribbean: The Curse of the Black Pearl,7.794,19233,09/07/2003,655011224,143,140000000,80.509,"Adventure, Fantasy, Action"
12445,Harry Potter and the Deathly Hallows: Part 2,8.105,19183,12/07/2011,1341511219,130,125000000,110.974,"Fantasy, Adventure"
11,Star Wars,8.204,19155,25/05/1977,775398007,121,11000000,88.559,"Adventure, Action, Science Fiction"
297762,Wonder Woman,7.236,18954,30/05/2017,822854286,141,149000000,54.628,"Action, Adventure, Fantasy"
14160,Up,7.949,18857,28/05/2009,735099082,96,175000000,90.968,"Animation, Comedy, Family, Adventure"
102899,Ant-Man,7.082,18730,14/07/2015,519311965,117,130000000,37.692,"Science Fiction, Action, Adventure"
238,The Godfather,8.707,18677,14/03/1972,245066411,175,6000000,158.448,"Drama, Crime"
286217,The Martian,7.678,18525,30/09/2015,630600000,141,108000000,76,"Drama, Adventure, Science Fiction"
105,Back to the Future,8.314,18442,03/07/1985,381109762,116,19000000,62.543,"Adventure, Comedy, Science Fiction"
140607,Star Wars: The Force Awakens,7.293,18352,15/12/2015,2068223624,136,245000000,66.772,"Adventure, Action, Science Fiction"
634649,Spider-Man: No Way Home,7.99,18299,15/12/2021,1921847111,148,200000000,186.065,"Action, Adventure, Science Fiction"
675,Harry Potter and the Order of the Phoenix,7.686,18177,08/07/2007,938212738,138,150000000,117.168,"Adventure, Fantasy"
767,Harry Potter and the Half-Blood Prince,7.697,18127,15/07/2009,933959197,153,250000000,121.735,"Adventure, Fantasy"
263115,Logan,7.8,18116,28/02/2017,619021436,137,97000000,54.194,"Action, Drama, Science Fiction"
12,Finding Nemo,7.824,18061,30/05/2003,940335536,100,94000000,55.456,"Animation, Family"
346364,It,7.242,18018,06/09/2017,701800000,135,40000000,74.73,"Horror, Fantasy"
245891,John Wick,7.421,17923,22/10/2014,88761661,101,20000000,55.739,"Action, Thriller"
259316,Fantastic Beasts and Where to Find Them,7.334,17892,16/11/2016,809342332,132,180000000,46.103,"Fantasy, Adventure, Family"
12444,Harry Potter and the Deathly Hallows: Part 1,7.763,17782,17/11/2010,954305868,146,250000000,111.984,"Adventure, Fantasy"
